Pos,Club,JJ_Gral,JG_Gral,JE_Gral,JP_Gral,GF_Gral,GC_Gral,Dif_Gral,PTS_Gral,JJ_Loc,JG_Loc,JE_Loc,JP_Loc,GF_Loc,GC_Loc,Dif_Loc,PTS_Loc,JJ_Vis,JG_Vis,JE_Vis,JP_Vis,GF_Vis,GC_Vis,Dif_Vis,PTS_Vis,Club_Nombre_Estandarizado
1,Toluca,2,2,0,0,7,3,4,6,1,1,0,0,3,1,2,3,1,1,0,0,4,2,2,3,Toluca
2,Pachuca,2,2,0,0,6,2,4,6,1,1,0,0,3,0,3,3,1,1,0,0,3,2,1,3,Pachuca
3,América,2,1,1,0,4,2,2,4,1,1,0,0,3,1,2,3,1,0,1,0,1,1,0,1,Club America
4,Atlas,2,1,1,0,6,5,1,4,1,0,1,0,3,3,0,1,1,1,0,0,3,2,1,3,Atlas
5,Mazatlán FC,2,1,1,0,2,1,1,4,1,1,0,0,2,1,1,3,1,0,1,0,0,0,0,1,Mazatlan
6,Santos Laguna,2,1,0,1,5,4,1,3,2,1,0,1,5,4,1,3,0,0,0,0,0,0,0,0,Santos Laguna
7,Tigres,1,1,0,0,1,0,1,3,1,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,Tigres UANL
8,Necaxa,2,1,0,1,4,4,0,3,1,1,0,0,3,1,2,3,1,0,0,1,1,3,-2,0,Necaxa
9,Atlético de San Luis,2,1,0,1,1,1,0,3,1,0,0,1,0,1,-1,0,1,1,0,0,1,0,1,3,Atletico San Luis
10,León,2,1,0,1,1,1,0,3,2,1,0,1,1,1,0,3,0,0,0,0,0,0,0,0,Leon
11,Tijuana,2,1,0,1,2,3,-1,3,1,1,0,0,1,0,1,3,1,0,0,1,1,3,-2,0,Club Tijuana
12,Monterrey,2,1,0,1,1,3,-2,3,0,0,0,0,0,0,0,0,2,1,0,1,1,3,-2,3,Monterrey
13,Cruz Azul,2,0,2,0,3,3,0,2,1,0,1,0,0,0,0,1,1,0,1,0,3,3,0,1,Cruz Azul
14,FC Juárez,2,0,1,1,1,2,-1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,-1,0,FC Juárez
15,Guadalajara,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,0,Guadalajara Chivas
16,Puebla,2,0,0,2,3,5,-2,0,1,0,0,1,2,3,-1,0,1,0,0,1,1,2,-1,0,Puebla
17,Querétaro,2,0,0,2,1,4,-3,0,0,0,0,0,0,0,0,0,2,0,0,2,1,4,-3,0,Club Queretaro
18,Pumas,2,0,0,2,2,6,-4,0,1,0,0,1,2,3,-1,0,1,0,0,1,0,3,-3,0,U.N.A.M. - Pumas
