Pos,Club,JJ_Gral,JG_Gral,JE_Gral,JP_Gral,GF_Gral,GC_Gral,Dif_Gral,PTS_Gral,JJ_Loc,JG_Loc,JE_Loc,JP_Loc,GF_Loc,GC_Loc,Dif_Loc,PTS_Loc,JJ_Vis,JG_Vis,JE_Vis,JP_Vis,GF_Vis,GC_Vis,Dif_Vis,PTS_Vis,Season
1,Toluca,17,11,4,2,41,22,19,37,8,6,2,0,21,9,12,20,9,5,2,2,20,13,7,17,Clausura 2024-2025
2,America,17,10,4,3,34,10,24,34,9,5,3,1,22,5,17,18,8,5,1,2,12,5,7,16,Clausura 2024-2025
3,Cruz Azul,17,9,6,2,26,16,10,33,8,5,3,0,14,7,7,18,9,4,3,2,12,9,3,15,Clausura 2024-2025
4,Tigres UANL,17,10,3,4,24,14,10,33,9,8,0,1,18,6,12,24,8,2,3,3,6,8,-2,9,Clausura 2024-2025
5,Necaxa,17,10,1,6,36,29,7,31,8,5,0,3,18,16,2,15,9,5,1,3,18,13,5,16,Clausura 2024-2025
6,Leon,17,9,3,5,24,21,3,30,8,5,1,2,11,9,2,16,9,4,2,3,13,12,1,14,Clausura 2024-2025
7,Monterrey,17,8,4,5,32,23,9,28,8,5,1,2,16,10,6,16,9,3,3,3,16,13,3,12,Clausura 2024-2025
8,Pachuca,17,8,4,5,29,23,6,28,9,5,3,1,13,7,6,18,8,3,1,4,16,16,0,10,Clausura 2024-2025
9,FC Juarez,17,6,6,5,16,21,-5,24,9,4,3,2,11,12,-1,15,8,2,3,3,5,9,-4,9,Clausura 2024-2025
10,U.N.A.M. - Pumas,17,6,3,8,23,26,-3,21,9,3,3,3,7,8,-1,12,8,3,0,5,16,18,-2,9,Clausura 2024-2025
11,Guadalajara Chivas,17,5,6,6,18,21,-3,21,8,4,3,1,8,5,3,15,9,1,3,5,10,16,-6,6,Clausura 2024-2025
12,Queretaro,17,6,2,9,17,24,-7,20,9,4,1,4,11,11,0,13,8,2,1,5,6,13,-7,7,Clausura 2024-2025
13,Club Tijuana,17,6,1,10,29,35,-6,19,8,3,0,5,17,19,-2,9,9,3,1,5,12,16,-4,10,Clausura 2024-2025
14,Atlas,17,4,6,7,25,32,-7,18,9,2,3,4,15,20,-5,9,8,2,3,3,10,12,-2,9,Clausura 2024-2025
15,Atletico de San Luis,17,6,0,11,20,33,-13,18,9,4,0,5,12,15,-3,12,8,2,0,6,8,18,-10,6,Clausura 2024-2025
16,Mazatlan FC,17,4,5,8,16,26,-10,17,9,3,4,2,11,11,0,13,8,1,1,6,5,15,-10,4,Clausura 2024-2025
17,Puebla,17,2,3,12,12,25,-13,9,8,1,1,6,5,12,-7,4,9,1,2,6,7,13,-6,5,Clausura 2024-2025
18,Santos Laguna,17,2,1,14,15,36,-21,7,8,2,0,6,8,17,-9,6,9,0,1,8,7,19,-12,1,Clausura 2024-2025
1,Cruz Azul,17,13,3,1,39,12,27,42,9,7,2,0,20,3,17,23,8,6,1,1,19,9,10,19,Apertura 2024-2025
2,Toluca,17,10,5,2,38,16,22,35,9,7,2,0,28,7,21,23,8,3,3,2,10,9,1,12,Apertura 2024-2025
3,Tigres UANL,17,10,4,3,25,15,10,34,8,6,2,0,11,5,6,20,9,4,2,3,14,10,4,14,Apertura 2024-2025
4,U.N.A.M. - Pumas,17,9,4,4,21,13,8,31,8,6,0,2,14,6,8,18,9,3,4,2,7,7,0,13,Apertura 2024-2025
5,Monterrey,17,9,4,4,26,19,7,31,9,5,2,2,16,12,4,17,8,4,2,2,10,7,3,14,Apertura 2024-2025
6,Atletico de San Luis,17,9,3,5,27,19,8,30,8,7,1,0,18,5,13,22,9,2,2,5,9,14,-5,8,Apertura 2024-2025
7,Club Tijuana,17,8,5,4,24,25,-1,29,9,6,2,1,18,13,5,20,8,2,3,3,6,12,-6,9,Apertura 2024-2025
8,America,17,8,3,6,27,21,6,27,8,6,0,2,14,5,9,18,9,2,3,4,13,16,-3,9,Apertura 2024-2025
9,Guadalajara Chivas,17,7,4,6,24,15,9,25,9,4,3,2,15,7,8,15,8,3,1,4,9,8,1,10,Apertura 2024-2025
10,Atlas,17,5,7,5,17,23,-6,22,8,3,4,1,8,5,3,13,9,2,3,4,9,18,-9,9,Apertura 2024-2025
11,Leon,17,3,9,5,21,23,-2,18,9,2,6,1,9,5,4,12,8,1,3,4,12,18,-6,6,Apertura 2024-2025
12,FC Juarez,17,5,2,10,22,36,-14,17,8,1,2,5,10,15,-5,5,9,4,0,5,12,21,-9,12,Apertura 2024-2025
13,Necaxa,17,3,6,8,20,26,-6,15,9,3,3,3,13,9,4,12,8,0,3,5,7,17,-10,3,Apertura 2024-2025
14,Mazatlan FC,17,2,8,7,10,19,-9,14,8,2,4,2,10,11,-1,10,9,0,4,5,0,8,-8,4,Apertura 2024-2025
15,Puebla,17,4,2,11,17,31,-14,14,9,3,1,5,13,15,-2,10,8,1,1,6,4,16,-12,4,Apertura 2024-2025
16,Pachuca,17,3,4,10,20,29,-9,13,8,2,2,4,13,13,0,8,9,1,2,6,7,16,-9,5,Apertura 2024-2025
17,Queretaro,17,3,3,11,13,31,-18,12,8,2,1,5,6,11,-5,7,9,1,2,6,7,20,-13,5,Apertura 2024-2025
18,Santos Laguna,17,2,4,11,12,30,-18,10,9,2,3,4,7,13,-6,9,8,0,1,7,5,17,-12,1,Apertura 2024-2025
1,America,17,10,5,2,30,12,18,35,7,5,2,0,15,5,10,17,10,5,3,2,15,7,8,18,Clausura 2023-2024
2,Cruz Azul,17,10,3,4,23,14,9,33,9,6,1,2,15,7,8,19,8,4,2,2,8,7,1,14,Clausura 2023-2024
3,Toluca,17,9,5,3,38,23,15,32,8,7,0,1,20,5,15,21,9,2,5,2,18,18,0,11,Clausura 2023-2024
4,Monterrey,17,9,5,3,32,19,13,32,9,5,3,1,17,10,7,18,8,4,2,2,15,9,6,14,Clausura 2023-2024
5,Tigres UANL,17,9,4,4,34,23,11,31,8,5,2,1,19,10,9,17,9,4,2,3,15,13,2,14,Clausura 2023-2024
6,Guadalajara Chivas,17,9,4,4,24,17,7,31,8,5,2,1,15,9,6,17,9,4,2,3,9,8,1,14,Clausura 2023-2024
7,Pachuca,17,9,2,6,34,27,7,29,9,5,1,3,19,17,2,16,8,4,1,3,15,10,5,13,Clausura 2023-2024
8,U.N.A.M. - Pumas,17,7,6,4,27,22,5,27,9,6,3,0,18,7,11,21,8,1,3,4,9,15,-6,6,Clausura 2023-2024
9,Necaxa,17,7,6,4,30,29,1,27,9,4,3,2,15,13,2,15,8,3,3,2,15,16,-1,12,Clausura 2023-2024
10,Queretaro,17,6,6,5,22,21,1,24,9,2,4,3,11,12,-1,10,8,4,2,2,11,9,2,14,Clausura 2023-2024
11,Leon,17,7,3,7,23,25,-2,24,8,4,0,4,11,11,0,12,9,3,3,3,12,14,-2,12,Clausura 2023-2024
12,FC Juarez,17,4,4,9,19,26,-7,16,9,2,4,3,10,14,-4,10,8,2,0,6,9,12,-3,6,Clausura 2023-2024
13,Atletico de San Luis,17,5,1,11,25,35,-10,16,8,3,1,4,16,17,-1,10,9,2,0,7,9,18,-9,6,Clausura 2023-2024
14,Mazatlan FC,17,4,4,9,21,32,-11,16,8,3,2,3,10,12,-2,11,9,1,2,6,11,20,-9,5,Clausura 2023-2024
15,Santos Laguna,17,4,3,10,15,28,-13,15,8,3,1,4,8,11,-3,10,9,1,2,6,7,17,-10,5,Clausura 2023-2024
16,Club Tijuana,17,2,8,7,21,30,-9,14,8,1,5,2,11,12,-1,8,9,1,3,5,10,18,-8,6,Clausura 2023-2024
17,Atlas,17,3,5,9,21,31,-10,14,10,3,2,5,11,14,-3,11,7,0,3,4,10,17,-7,3,Clausura 2023-2024
18,Puebla,17,1,2,14,18,43,-25,5,9,1,2,6,11,19,-8,5,8,0,0,8,7,24,-17,0,Clausura 2023-2024
1,America,17,12,4,1,37,14,23,40,10,7,2,1,25,9,16,23,7,5,2,0,12,5,7,17,Apertura 2023-2024
2,Monterrey,17,10,3,4,27,15,12,33,8,6,0,2,17,8,9,18,9,4,3,2,10,7,3,15,Apertura 2023-2024
3,Tigres UANL,17,8,6,3,32,18,14,30,9,5,4,0,19,8,11,19,8,3,2,3,13,10,3,11,Apertura 2023-2024
4,U.N.A.M. - Pumas,17,8,4,5,27,18,9,28,8,5,2,1,14,5,9,17,9,3,2,4,13,13,0,11,Apertura 2023-2024
5,Guadalajara Chivas,17,8,3,6,22,22,0,27,9,5,1,3,13,11,2,16,8,3,2,3,9,11,-2,11,Apertura 2023-2024
6,Puebla,17,7,4,6,24,25,-1,25,8,3,1,4,13,14,-1,10,9,4,3,2,11,11,0,15,Apertura 2023-2024
7,Atletico de San Luis,17,7,2,8,31,26,5,23,9,5,1,3,18,9,9,16,8,2,1,5,13,17,-4,7,Apertura 2023-2024
8,Leon,17,6,5,6,23,22,1,23,9,5,3,1,14,7,7,18,8,1,2,5,9,15,-6,5,Apertura 2023-2024
9,Santos Laguna,17,7,2,8,31,34,-3,23,9,5,1,3,16,14,2,16,8,2,1,5,15,20,-5,7,Apertura 2023-2024
10,Mazatlan FC,17,6,4,7,25,27,-2,22,9,4,2,3,14,12,2,14,8,2,2,4,11,15,-4,8,Apertura 2023-2024
11,Pachuca,17,5,7,5,16,27,-11,22,8,2,4,2,8,10,-2,10,9,3,3,3,8,17,-9,12,Apertura 2023-2024
12,Toluca,17,5,6,6,23,19,4,21,9,4,3,2,16,9,7,15,8,1,3,4,7,10,-3,6,Apertura 2023-2024
13,Club Tijuana,17,6,2,9,23,26,-3,20,9,6,1,2,20,11,9,19,8,0,1,7,3,15,-12,1,Apertura 2023-2024
14,Queretaro,17,5,4,8,18,29,-11,19,8,1,4,3,7,9,-2,7,9,4,0,5,11,20,-9,12,Apertura 2023-2024
15,FC Juarez,17,5,3,9,24,34,-10,18,8,3,2,3,13,12,1,11,9,2,1,6,11,22,-11,7,Apertura 2023-2024
16,Cruz Azul,17,5,2,10,21,29,-8,17,8,2,1,5,10,16,-6,7,9,3,1,5,11,13,-2,10,Apertura 2023-2024
17,Atlas,17,4,5,8,14,24,-10,17,7,2,2,3,7,8,-1,8,10,2,3,5,7,16,-9,9,Apertura 2023-2024
18,Necaxa,17,3,6,8,18,27,-9,15,8,2,2,4,9,11,-2,8,9,1,4,4,9,16,-7,7,Apertura 2023-2024
